copy_id,driver1_lap_01,driver2_lap_01,driver3_lap_01,driver4_lap_01,driver5_lap_01,driver6_lap_01,driver7_lap_01,driver8_lap_01,driver9_lap_01,driver10_lap_01,driver11_lap_01,driver12_lap_01,driver13_lap_01,driver14_lap_01,driver15_lap_01,driver16_lap_01,driver17_lap_01,driver18_lap_01,driver19_lap_01,driver20_lap_01,driver21_lap_01,driver22_lap_01,driver23_lap_01,driver24_lap_01
1000_1,5,18,0,14,0,11,13,0,6,2,15,9,12,4,10,17,7,16,0,3,1,0,19,8
1001_1,16,14,0,8,0,17,11,0,10,9,15,0,3,1,12,0,5,7,0,6,2,0,13,4
1002_1,3,19,0,7,0,10,15,0,11,4,13,14,5,1,16,9,12,17,0,18,2,0,8,6
1003_1,3,14,0,19,0,9,18,0,16,4,7,13,8,5,11,17,15,6,0,2,1,0,12,10
1004_1,13,10,0,7,0,16,17,0,20,1,8,19,9,4,12,6,5,18,15,3,2,0,14,11
1005_1,3,20,0,9,0,15,19,0,7,2,8,10,6,5,16,13,12,14,18,4,1,0,17,11
1006_1,9,16,0,7,0,20,13,0,14,3,8,12,19,1,5,17,10,4,11,15,2,0,18,6
1007_1,1,10,0,16,0,12,19,0,17,5,11,20,18,7,8,9,14,3,15,4,2,0,13,6
1008_1,5,9,0,19,0,15,20,0,8,2,12,16,7,4,14,6,11,10,17,3,1,0,18,13
1011_1,5,16,0,15,0,8,19,0,3,2,10,14,20,17,11,18,7,9,13,1,4,0,12,6
1012_1,5,17,0,14,0,12,13,0,3,2,8,20,10,16,9,15,11,7,18,4,1,0,6,19
1014_1,3,9,0,15,0,20,14,0,5,2,13,16,7,17,18,19,8,12,10,4,1,0,6,11
1015_1,3,9,0,19,0,17,15,0,14,2,16,13,12,18,11,20,6,5,10,4,1,0,7,8
1017_1,4,20,0,9,0,11,15,0,3,2,13,6,18,17,12,19,14,10,16,7,1,0,8,5
1018_1,7,19,0,9,0,4,13,0,1,2,11,5,15,16,12,20,10,14,18,6,3,0,8,17
1019_1,4,16,0,13,0,12,15,0,3,1,14,7,19,18,9,17,20,8,10,5,2,0,6,11
101_1,1,20,0,8,0,2,10,0,19,12,4,14,15,3,5,18,13,6,17,9,16,0,11,7
1020_1,4,17,0,12,0,3,15,0,6,2,11,19,7,20,5,18,10,13,16,14,1,0,8,9
1021_1,1,15,0,18,0,8,17,0,3,4,12,7,10,20,11,14,16,19,13,5,2,0,9,6
1022_1,19,11,0,9,0,18,12,0,5,4,8,15,6,16,14,13,7,17,0,2,3,0,1,10
1024_1,4,12,0,8,0,11,13,0,1,5,14,7,17,16,18,19,9,15,6,3,2,0,10,20
1025_1,4,8,0,13,0,15,12,0,6,10,19,16,9,17,7,18,14,5,0,1,3,0,2,11
