copy_id,driver1_lap_01,driver2_lap_01,driver3_lap_01,driver4_lap_01,driver5_lap_01,driver6_lap_01,driver7_lap_01,driver8_lap_01,driver9_lap_01,driver10_lap_01,driver11_lap_01,driver12_lap_01,driver13_lap_01,driver14_lap_01,driver15_lap_01,driver16_lap_01,driver17_lap_01,driver18_lap_01,driver19_lap_01,driver20_lap_01,driver21_lap_01,driver22_lap_01,driver23_lap_01,driver24_lap_01
1000_1,5,18,0,14,0,11,13,0,6,2,15,9,12,4,10,17,7,16,0,3,1,0,19,8
1000_3,0,1,0,15,14,6,3,8,7,12,18,10,9,11,4,16,0,0,17,5,0,13,19,2
1001_1,16,14,0,8,0,17,11,0,10,9,15,0,3,1,12,0,5,7,0,6,2,0,13,4
1001_2,11,0,6,8,0,0,14,3,1,0,15,7,0,17,10,2,13,0,0,5,9,4,16,12
1002_1,3,19,0,7,0,10,15,0,11,4,13,14,5,1,16,9,12,17,0,18,2,0,8,6
1002_2,15,9,18,7,0,14,19,5,1,0,13,17,0,10,11,2,8,0,0,12,4,6,3,16
1003_1,3,14,0,19,0,9,18,0,16,4,7,13,8,5,11,17,15,6,0,2,1,0,12,10
1003_2,18,17,2,19,0,13,14,8,5,0,7,6,0,9,16,1,12,0,0,15,4,10,3,11
1003_3,0,1,0,7,19,16,2,10,15,8,14,11,13,9,5,6,0,0,17,3,0,18,12,4
1004_2,17,6,3,7,0,19,10,9,4,15,8,18,0,16,20,2,14,0,0,5,1,11,13,12
1005_1,3,20,0,9,0,15,19,0,7,2,8,10,6,5,16,13,12,14,18,4,1,0,17,11
1005_2,19,13,4,9,0,10,20,6,5,18,8,14,0,15,7,1,17,0,0,12,2,11,3,16
1005_3,0,1,0,8,9,7,4,11,12,6,20,16,10,15,5,14,0,18,13,3,0,19,17,2
1006_3,0,2,0,8,7,14,15,6,10,19,16,5,12,20,1,4,0,11,17,9,0,13,18,3
1007_3,0,2,0,11,16,17,4,6,14,18,10,8,20,12,7,3,0,15,9,1,0,19,13,5
1008_1,5,9,0,19,0,15,20,0,8,2,12,16,7,4,14,6,11,10,17,3,1,0,18,13
1008_2,20,6,3,19,0,16,9,7,4,17,12,10,0,15,8,1,18,0,0,11,2,13,5,14
1009_1,11,9,0,15,0,14,8,0,19,16,6,5,7,4,10,18,12,2,0,3,1,0,13,17
1009_2,8,18,3,15,0,5,9,7,4,0,6,2,0,14,19,1,13,0,0,12,16,17,11,10
1009_3,0,1,0,6,15,19,3,17,12,7,9,10,5,14,4,2,0,0,18,11,0,8,13,16
100_2,15,20,7,12,0,19,2,10,1,11,5,9,0,14,13,16,18,0,0,17,3,8,4,6
100_3,0,16,0,5,12,13,7,8,17,10,2,6,19,14,1,9,0,11,20,4,0,15,18,3
1010_1,4,15,0,16,0,9,13,0,5,1,12,10,7,19,8,18,6,20,11,3,2,0,17,14
1010_2,13,18,3,16,0,10,15,7,19,11,12,20,0,9,5,2,17,0,0,6,1,14,4,8
1010_3,0,2,0,12,16,5,3,14,6,7,15,8,10,9,19,20,0,11,18,4,0,13,17,1
1011_1,5,16,0,15,0,8,19,0,3,2,10,14,20,17,11,18,7,9,13,1,4,0,12,6
1011_2,19,18,1,15,0,14,16,20,17,13,10,9,0,8,3,4,12,0,0,7,2,6,5,11
1011_3,0,4,0,10,15,3,1,6,7,20,16,11,14,8,17,9,0,13,18,5,0,19,12,2
1012_1,5,17,0,14,0,12,13,0,3,2,8,20,10,16,9,15,11,7,18,4,1,0,6,19
1012_3,0,1,0,8,14,3,4,19,11,10,17,9,20,12,16,7,0,18,15,5,0,13,6,2
1013_1,5,7,0,15,0,17,11,0,10,1,4,6,16,20,14,18,13,9,12,3,2,0,19,8
1013_3,0,2,0,4,15,10,3,8,13,16,7,14,6,17,20,9,0,12,18,5,0,11,19,1
1014_1,3,9,0,15,0,20,14,0,5,2,13,16,7,17,18,19,8,12,10,4,1,0,6,11
1014_2,14,19,4,15,0,16,9,7,17,10,13,12,0,20,5,1,6,0,0,8,2,11,3,18
1014_3,0,1,0,13,15,5,4,11,8,7,9,18,16,20,17,12,0,10,19,3,0,14,6,2
1015_1,3,9,0,19,0,17,15,0,14,2,16,13,12,18,11,20,6,5,10,4,1,0,7,8
1015_2,15,20,4,19,0,13,9,12,18,10,16,5,0,17,14,1,7,0,0,6,2,8,3,11
1015_3,0,1,0,16,19,14,4,8,6,12,9,11,13,17,18,5,0,10,20,3,0,15,7,2
1016_1,9,10,0,13,0,17,14,0,3,7,12,8,18,16,6,15,19,4,20,1,2,0,5,11
1016_2,14,15,1,13,0,8,10,18,16,20,12,4,0,17,3,2,5,0,0,19,7,11,9,6
1016_3,0,2,0,12,13,3,1,11,19,18,10,6,8,17,16,4,0,20,15,9,0,14,5,7
1017_1,4,20,0,9,0,11,15,0,3,2,13,6,18,17,12,19,14,10,16,7,1,0,8,5
1017_2,15,19,7,9,0,6,20,18,17,16,13,10,0,11,3,1,8,0,0,14,2,5,4,12
1017_3,0,1,0,13,9,3,7,5,14,18,20,12,6,11,17,10,0,16,19,4,0,15,8,2
1018_1,7,19,0,9,0,4,13,0,1,2,11,5,15,16,12,20,10,14,18,6,3,0,8,17
1018_2,13,20,6,9,0,5,19,15,16,18,11,14,0,4,1,3,8,0,0,10,2,17,7,12
1018_3,0,3,0,11,9,1,6,17,10,15,19,12,5,4,16,14,0,18,20,7,0,13,8,2
1019_1,4,16,0,13,0,12,15,0,3,1,14,7,19,18,9,17,20,8,10,5,2,0,6,11
1019_2,15,17,5,13,0,7,16,19,18,10,14,8,0,12,3,2,6,0,0,20,1,11,4,9
1019_3,0,2,0,14,13,3,5,11,20,19,16,9,7,12,18,8,0,10,17,4,0,15,6,1
101_2,10,18,9,8,0,14,20,15,3,17,4,6,0,2,19,16,11,0,0,13,12,7,1,5
101_3,0,16,0,4,8,19,9,7,13,15,20,5,14,2,3,6,0,17,18,1,0,10,11,12
1020_1,4,17,0,12,0,3,15,0,6,2,11,19,7,20,5,18,10,13,16,14,1,0,8,9
1020_2,15,18,14,12,0,19,17,7,20,16,11,13,0,3,6,1,8,0,0,10,2,9,4,5
1020_3,0,1,0,11,12,6,14,9,10,7,17,5,19,3,20,13,0,16,18,4,0,15,8,2
1021_2,17,14,5,18,0,7,15,10,20,13,12,19,0,8,3,2,9,0,0,16,4,6,1,11
1021_3,0,2,0,12,18,3,5,6,16,10,15,11,7,8,20,19,0,13,14,1,0,17,9,4
1022_2,12,13,2,9,0,15,11,6,16,0,8,17,0,18,5,3,1,0,0,7,4,10,19,14
1022_3,0,3,0,8,9,5,2,10,7,6,11,14,15,18,16,17,0,0,13,19,0,12,1,4
1023_1,20,12,0,10,0,19,7,0,1,3,17,18,16,13,4,15,11,6,9,5,2,0,14,8
1023_2,7,15,5,10,0,18,12,16,13,9,17,6,0,19,1,2,14,0,0,11,3,8,20,4
1023_3,0,2,0,17,10,1,5,8,11,16,12,4,18,19,13,6,0,9,15,20,0,7,14,3
1024_1,4,12,0,8,0,11,13,0,1,5,14,7,17,16,18,19,9,15,6,3,2,0,10,20
1024_2,13,19,3,8,0,7,12,17,16,6,14,15,0,11,1,2,10,0,0,9,5,20,4,18
1025_3,0,3,0,19,13,6,1,11,14,9,8,7,16,15,17,5,0,0,18,4,0,12,2,10
1027_1,8,9,0,15,0,16,14,0,1,7,11,6,20,18,13,19,17,12,3,2,5,0,10,4
1027_2,14,19,2,15,0,6,9,20,18,3,11,12,0,16,1,5,10,0,0,17,7,4,8,13
1027_3,0,5,0,11,15,1,2,4,17,20,9,13,6,16,18,12,0,3,19,8,0,14,10,7
1028_1,2,15,0,16,0,12,17,0,4,1,18,5,14,19,13,20,10,7,11,6,3,0,8,9
1028_3,0,3,0,18,16,4,6,9,10,14,15,13,5,12,19,7,0,11,20,2,0,17,8,1
1029_2,14,20,3,10,0,12,17,7,19,5,15,13,0,8,11,2,6,0,0,9,4,18,1,16
1029_3,0,2,0,15,10,11,3,18,9,7,17,16,12,8,19,13,0,5,20,1,0,14,6,4
102_1,1,2,0,19,0,3,14,0,15,5,6,16,17,7,11,18,9,12,20,8,13,0,10,4
102_2,14,18,8,19,0,16,2,17,7,20,6,12,0,3,15,13,10,0,0,9,5,4,1,11
102_3,0,13,0,6,19,15,8,4,9,17,2,11,16,3,7,12,0,20,18,1,0,14,10,5
1030_1,3,16,0,13,0,14,12,0,2,15,11,6,17,18,10,19,9,8,5,4,1,0,20,7
1031_1,16,8,0,12,0,17,14,0,3,15,1,19,6,10,11,4,2,13,20,18,5,0,7,9
1031_2,14,4,18,12,0,19,8,6,10,20,1,13,0,17,3,5,7,0,0,2,15,9,16,11
1031_3,0,5,0,1,12,3,18,9,2,6,8,11,19,17,10,13,0,20,4,16,0,14,7,15
1032_1,6,3,0,8,0,20,15,0,10,14,4,12,17,16,7,5,2,13,18,19,1,0,9,11
1032_2,15,5,19,8,0,12,3,17,16,18,4,13,0,20,10,1,9,0,0,2,14,11,6,7
1032_3,0,1,0,4,8,10,19,11,2,17,3,7,12,20,16,13,0,18,5,6,0,15,9,14
1033_1,16,8,0,12,0,14,18,0,13,17,6,15,7,4,9,11,3,19,10,20,1,0,5,2
1033_2,18,11,20,12,0,15,8,7,4,10,6,19,0,14,13,1,5,0,0,3,17,2,16,9
