copy_id,driver1_lap_10,driver2_lap_10,driver3_lap_10,driver4_lap_10,driver5_lap_10,driver6_lap_10,driver7_lap_10,driver8_lap_10,driver9_lap_10,driver10_lap_10,driver11_lap_10,driver12_lap_10,driver13_lap_10,driver14_lap_10,driver15_lap_10,driver16_lap_10,driver17_lap_10,driver18_lap_10,driver19_lap_10,driver20_lap_10,driver21_lap_10,driver22_lap_10,driver23_lap_10,driver24_lap_10
1001_1,5,15,0,14,0,1,8,0,0,3,7,0,16,6,12,0,13,9,0,4,2,0,10,11
1002_1,6,3,0,8,0,1,7,0,14,18,13,9,15,11,10,0,17,4,0,5,2,0,12,16
1003_1,3,14,0,18,0,9,17,0,16,4,7,13,8,5,11,19,15,6,0,2,1,0,12,10
1004_1,5,11,0,8,0,16,14,0,6,1,7,17,15,4,10,0,13,9,0,3,2,0,18,12
1005_1,10,3,0,14,0,12,9,0,11,2,7,15,5,4,13,16,17,8,0,18,1,0,6,19
1006_1,8,13,0,12,0,1,14,0,11,4,10,0,9,6,3,0,7,15,0,5,2,0,16,17
1007_1,7,1,0,14,0,6,18,0,17,12,3,9,8,4,11,15,10,5,0,16,2,0,19,13
1009_1,15,9,0,10,0,11,14,0,12,8,1,16,7,2,3,0,4,13,0,17,5,0,18,6
100_1,3,10,0,11,0,16,12,0,14,2,4,19,9,1,7,20,13,8,17,6,15,0,18,5
1011_1,5,8,0,10,0,14,18,0,1,4,15,9,19,12,7,13,11,6,16,2,3,0,17,20
1012_1,5,15,0,18,0,9,11,0,3,2,8,20,16,14,10,13,17,7,12,4,1,0,6,19
1013_1,5,16,0,20,0,18,11,0,4,1,7,14,10,15,19,13,17,12,9,3,2,0,8,6
1014_1,3,9,0,20,0,17,14,0,5,2,13,16,7,18,15,19,8,12,10,4,1,0,6,11
1016_1,6,7,0,11,0,16,8,0,3,5,9,17,13,19,4,18,15,10,0,1,2,0,12,14
1017_1,4,16,0,20,0,10,14,0,3,2,12,7,17,18,11,19,13,9,15,5,1,0,8,6
1018_1,5,19,0,9,0,6,12,0,1,2,10,7,17,20,11,18,15,13,16,4,3,0,8,14
1019_1,14,11,0,3,0,13,6,0,17,15,8,10,9,18,12,0,4,1,0,5,2,0,7,16
101_1,1,18,0,16,0,10,9,0,15,7,3,13,14,2,5,20,12,6,19,8,17,0,11,4
1020_1,8,3,0,14,0,6,10,0,15,16,12,18,11,19,5,9,13,2,0,7,1,0,4,17
1021_1,1,13,0,18,0,7,17,0,3,20,11,6,9,19,10,14,15,16,12,4,2,0,8,5
1023_1,17,9,0,7,0,15,12,0,1,3,11,13,20,18,5,16,10,4,8,19,2,0,14,6
1024_1,4,14,0,8,0,11,13,0,1,5,15,7,16,18,17,19,9,12,6,3,2,0,10,20
1026_1,17,15,0,11,0,14,7,0,16,1,9,18,13,20,8,19,12,10,5,2,3,0,6,4
1027_1,20,11,0,14,0,13,12,0,1,5,8,7,18,16,10,17,15,9,3,2,4,0,19,6
1028_1,8,2,0,7,0,9,14,0,6,12,5,17,10,18,15,16,11,1,0,13,3,0,4,19
1029_1,1,16,0,10,0,8,12,0,6,4,14,11,9,18,15,19,17,20,5,3,2,0,7,13
102_1,1,2,0,18,0,3,14,0,15,5,6,17,16,11,10,19,8,12,20,7,13,0,9,4
1030_1,3,13,0,18,0,12,19,0,2,10,9,15,14,16,8,17,11,7,5,4,1,0,20,6
1031_1,16,8,0,12,0,17,15,0,5,13,1,19,6,10,11,4,2,14,20,18,3,0,7,9
1032_1,9,6,0,10,0,16,8,0,4,2,14,17,7,15,3,0,5,12,0,11,1,0,18,13
1034_1,12,8,0,7,0,15,4,0,18,5,13,17,6,10,2,0,9,3,0,14,1,0,16,11
1036_1,16,7,0,8,0,15,19,0,10,12,3,17,5,11,13,6,2,14,20,18,1,0,9,4
1037_1,7,5,0,10,0,14,13,0,17,11,2,0,9,12,4,0,3,16,0,15,1,0,6,8
1038_1,8,9,0,13,0,12,10,0,17,7,19,14,5,16,6,18,2,11,0,4,1,0,3,15
1039_1,11,8,0,0,0,10,0,0,0,4,2,0,5,13,6,0,3,9,0,12,1,0,0,7
103_1,14,4,0,12,0,1,8,0,0,13,9,0,3,2,5,0,6,7,0,11,15,0,16,10
1040_1,12,4,0,16,0,14,8,0,18,10,2,15,6,13,5,0,3,9,0,11,1,0,17,7
1041_1,9,3,0,13,0,20,10,0,5,12,4,15,16,11,6,19,14,1,17,18,2,0,8,7
1042_1,12,4,0,8,0,9,14,0,6,16,1,13,20,15,7,11,3,19,18,17,2,0,5,10
1043_1,11,8,0,5,0,14,16,0,12,7,1,6,10,13,4,15,2,17,0,18,3,0,9,19
1045_1,17,6,0,5,0,13,7,0,4,2,18,14,9,15,16,0,8,11,0,3,1,0,12,10
1046_1,7,15,0,11,0,10,1,0,18,8,5,17,2,12,13,0,6,3,0,4,16,0,14,9
1047_1,15,7,0,5,0,14,13,0,4,6,9,19,2,11,17,18,12,1,0,10,3,0,16,8
104_1,10,9,0,13,0,1,6,0,15,2,8,18,19,4,14,17,12,7,0,5,16,0,11,3
1052_1,10,7,0,4,0,8,5,0,17,9,3,14,12,11,6,18,13,1,0,15,2,0,16,19
1053_1,13,9,0,6,0,17,3,0,14,7,10,18,4,12,5,19,15,1,0,16,2,0,11,8
1055_1,19,11,0,9,0,10,3,0,18,8,4,16,6,14,5,15,7,1,0,12,2,0,17,13
1056_1,9,11,0,15,0,14,4,0,17,3,2,19,8,12,13,18,10,1,0,7,6,0,16,5
1057_1,4,15,0,16,0,14,13,0,12,5,7,19,3,11,8,18,9,2,0,6,1,0,17,10
1059_1,13,14,0,10,0,8,7,0,17,5,3,16,4,15,9,19,12,2,20,11,1,0,18,6
1062_1,3,7,0,0,0,6,10,0,0,14,5,0,9,8,11,0,12,1,0,2,13,0,0,4
1064_1,10,12,0,13,0,7,5,0,18,6,3,14,19,15,9,17,8,1,20,16,2,0,11,4
1065_1,18,8,0,14,0,9,3,0,17,7,12,16,6,15,1,0,11,2,0,13,4,0,10,5
1066_1,18,4,0,2,0,8,13,0,17,1,15,19,7,10,5,16,9,12,20,11,6,0,3,14
1067_1,13,8,0,7,0,17,3,0,19,11,1,9,4,14,16,18,12,2,20,10,6,0,15,5
1069_1,15,12,0,7,0,16,4,0,18,6,9,14,3,10,5,20,19,2,13,11,1,0,17,8
1071_1,13,12,0,17,0,11,5,0,19,6,4,18,2,16,9,14,10,1,15,7,3,0,20,8
1072_1,11,19,0,7,0,13,4,0,16,10,3,12,5,14,8,17,6,2,0,15,1,0,18,9
1073_1,13,15,0,5,0,11,6,0,17,4,8,7,3,16,10,19,9,2,0,14,1,0,18,12
1074_1,8,15,0,6,0,10,18,0,19,3,7,11,20,17,12,16,9,2,13,4,5,0,14,1
