copy_id,driver1_lap_02,driver2_lap_02,driver3_lap_02,driver4_lap_02,driver5_lap_02,driver6_lap_02,driver7_lap_02,driver8_lap_02,driver9_lap_02,driver10_lap_02,driver11_lap_02,driver12_lap_02,driver13_lap_02,driver14_lap_02,driver15_lap_02,driver16_lap_02,driver17_lap_02,driver18_lap_02,driver19_lap_02,driver20_lap_02,driver21_lap_02,driver22_lap_02,driver23_lap_02,driver24_lap_02
1071_1,13,12,0,20,0,11,4,0,18,5,3,14,2,19,10,16,9,1,15,7,6,0,17,8
1072_1,11,16,0,6,0,10,4,0,19,13,2,12,5,14,9,20,7,3,18,15,1,0,17,8
1073_1,13,14,0,5,0,11,6,0,17,4,8,7,3,16,10,18,9,2,0,15,1,0,19,12
1074_1,8,16,0,7,0,9,17,0,19,3,5,12,20,15,14,13,10,2,18,6,4,0,11,1
1075_1,11,12,0,6,0,7,10,0,18,4,9,17,13,16,8,0,5,3,0,1,14,0,15,2
1076_1,1,9,0,19,0,10,5,0,11,8,15,13,7,16,12,14,18,2,0,4,3,0,17,6
1079_1,12,14,0,3,0,15,10,0,18,5,20,11,8,13,7,6,9,2,17,4,19,0,16,1
107_1,2,15,0,3,0,17,10,0,18,13,19,11,6,1,4,16,5,8,20,14,12,0,9,7
1081_1,6,18,0,5,0,10,11,0,19,4,17,9,12,8,16,20,13,3,14,1,7,0,15,2
1082_1,18,16,0,7,0,2,14,0,20,3,5,19,9,15,13,8,6,1,10,11,4,0,12,17
1084_1,12,11,0,4,0,17,10,0,16,3,6,14,9,18,19,8,5,1,15,20,7,0,13,2
1085_1,15,10,0,6,0,5,7,0,18,16,12,20,8,11,17,14,9,2,19,4,3,0,13,1
1086_1,20,15,0,1,0,7,4,0,19,2,10,16,11,18,14,13,6,8,17,9,5,0,12,3
1087_1,13,9,0,18,0,5,7,0,15,10,1,14,11,2,8,0,17,12,0,6,4,0,16,3
1088_1,12,8,0,7,0,13,6,0,19,3,20,11,16,17,18,10,9,1,14,5,4,0,15,2
108_1,3,1,0,18,0,8,16,0,5,2,6,19,9,15,13,10,12,17,14,20,4,0,11,7
1091_1,7,11,0,18,0,6,5,0,17,3,12,9,13,8,16,14,15,10,19,1,4,0,20,2
1092_1,2,18,0,15,0,6,7,0,10,4,12,17,8,16,14,0,11,1,0,3,5,0,9,13
1093_1,9,8,0,10,0,12,4,0,14,19,18,17,13,5,11,16,3,1,0,6,2,0,15,7
1094_1,16,15,0,4,0,7,10,0,20,5,18,11,13,14,8,17,9,1,12,3,2,0,19,6
1095_1,5,6,0,16,0,15,17,0,10,12,7,13,11,8,3,0,9,14,0,4,2,0,18,1
1098_1,2,18,0,12,0,7,6,0,17,11,1,20,8,14,19,16,9,4,13,3,5,0,15,10
1099_1,9,8,0,16,0,1,3,0,10,6,13,18,15,12,11,20,4,5,17,2,7,0,14,19
109_1,16,18,0,15,0,1,7,0,8,9,5,12,13,4,10,0,11,6,0,2,3,0,17,14
1100_1,11,8,0,10,0,5,6,0,14,15,3,13,17,9,12,19,7,4,0,18,2,0,16,1
1101_1,1,15,0,12,0,6,9,0,16,19,2,17,18,20,13,11,7,4,14,3,5,0,10,8
1104_1,6,7,0,13,0,2,8,0,19,3,1,12,14,20,16,11,17,4,15,18,5,0,9,10
1105_1,19,14,0,16,0,6,7,0,9,5,1,15,17,8,13,11,3,2,18,10,4,0,12,20
1106_1,9,13,0,10,0,3,4,0,19,5,1,17,16,6,15,7,14,11,18,12,2,0,20,8
1109_1,5,10,0,15,0,7,13,0,16,6,14,2,18,9,12,17,19,1,0,8,4,0,11,3
1110_1,16,10,0,11,0,6,7,0,8,5,18,14,19,17,12,15,13,4,0,1,3,0,9,2
111_1,4,2,0,12,0,6,20,0,16,3,10,17,14,5,11,19,1,15,18,8,9,0,7,13
112_1,8,7,0,12,0,3,16,0,15,1,2,0,5,17,11,0,6,4,0,14,10,0,9,13
113_1,2,1,0,16,0,17,6,0,15,4,8,14,7,3,18,0,9,10,0,12,5,0,13,11
114_1,13,2,0,18,0,6,10,0,17,1,11,15,4,3,9,0,5,8,0,7,12,0,16,14
115_1,5,2,0,7,0,3,20,0,10,18,14,13,19,16,4,11,1,15,17,8,12,0,6,9
117_1,2,4,0,13,0,7,9,0,16,20,12,15,6,3,8,19,1,17,18,5,14,0,10,11
118_1,6,5,0,8,0,7,10,0,20,3,15,17,1,2,12,19,4,16,18,9,14,0,13,11
119_1,7,8,0,11,0,3,15,0,0,1,9,0,5,6,12,0,14,4,0,2,10,0,0,13
11_1,9,12,0,13,0,10,5,0,20,19,4,17,2,6,14,16,15,11,18,7,1,0,3,8
120_1,8,7,0,15,0,1,20,0,14,3,17,13,5,4,2,12,16,11,18,6,9,0,19,10
121_1,12,8,0,6,0,17,13,0,18,1,16,19,10,4,9,14,2,3,0,5,11,0,15,7
122_1,7,4,0,2,0,8,10,0,20,6,11,15,9,1,14,19,3,17,18,5,12,0,13,16
123_1,12,19,0,7,0,3,4,0,20,16,9,11,5,6,13,17,2,8,18,10,14,0,15,1
124_1,14,5,0,0,0,7,12,0,0,6,3,0,8,1,4,0,13,10,0,2,11,0,0,9
125_1,21,2,0,15,8,3,13,0,22,19,18,16,4,20,7,10,1,6,17,12,5,11,14,9
126_1,1,2,0,11,12,7,13,0,14,21,18,10,6,17,3,16,5,4,19,9,8,22,15,20
128_1,15,3,0,10,0,4,11,0,14,2,5,16,6,13,7,17,1,12,0,9,8,0,18,19
129_1,2,3,0,14,12,7,15,0,17,11,19,21,6,16,13,18,1,9,8,10,5,0,20,4
12_1,8,5,0,11,0,7,15,0,0,14,3,0,12,9,2,0,16,4,0,10,6,0,13,1
130_1,3,4,0,19,8,6,22,0,10,11,18,20,1,12,5,14,7,17,21,13,15,9,16,2
131_1,3,5,0,22,13,4,11,0,19,8,20,16,6,14,9,17,1,10,21,15,7,18,12,2
132_1,3,2,0,19,12,6,18,0,15,21,17,16,5,22,8,14,1,7,20,9,10,11,13,4
134_1,13,1,0,9,0,3,18,0,11,4,14,12,5,17,8,0,2,6,0,7,10,0,15,16
135_1,1,2,0,9,0,4,13,0,16,8,19,17,7,14,6,18,3,10,15,11,12,0,20,5
138_1,4,1,0,15,0,5,11,0,6,16,19,18,20,17,12,8,3,13,7,14,10,0,9,2
139_1,7,1,0,16,0,5,19,0,15,2,12,18,4,11,17,14,20,9,13,3,8,0,10,6
13_1,17,3,0,11,0,12,10,0,6,16,2,18,7,13,14,19,15,9,0,8,1,0,4,5
141_1,8,13,0,11,17,19,3,0,15,7,12,21,6,16,14,2,1,4,20,5,9,0,18,10
143_1,8,2,0,14,19,21,6,0,12,5,16,11,4,10,17,20,1,7,18,3,9,0,15,13
144_1,10,6,0,16,18,20,11,0,14,1,15,13,3,9,19,4,5,8,21,2,12,22,17,7
145_1,7,6,0,18,20,16,11,0,14,4,15,13,5,10,19,9,1,3,2,22,8,21,12,17
146_1,10,1,0,7,0,17,9,0,15,2,12,6,19,8,16,18,3,4,11,5,20,0,14,13
147_1,14,8,0,19,17,12,13,0,10,1,3,6,15,20,9,2,5,4,18,7,16,0,21,11
148_1,9,12,0,19,0,8,7,0,10,11,2,16,15,3,4,14,13,1,0,5,18,0,17,6
149_1,12,3,0,10,22,21,17,0,20,2,13,19,6,9,18,11,1,7,5,4,8,16,14,15
14_1,4,15,0,16,0,20,3,0,17,5,13,12,9,2,11,14,18,8,19,6,1,0,7,10
150_1,8,4,0,7,15,20,11,0,13,1,17,18,6,9,16,12,2,5,19,3,10,0,14,21
152_1,12,10,0,17,0,7,11,0,8,3,5,4,13,6,16,20,1,2,15,9,19,0,18,14
153_1,11,8,0,20,18,17,10,0,19,4,14,5,13,9,16,6,1,2,21,3,7,0,15,12
154_1,7,10,0,14,0,8,15,0,0,11,1,0,3,6,12,0,13,9,0,2,4,0,0,5
155_1,12,1,0,15,20,16,14,0,7,4,19,13,10,9,21,11,3,2,17,5,18,0,8,6
156_1,17,2,0,15,21,19,14,0,8,4,10,11,12,22,9,5,1,3,16,6,7,20,13,18
