copy_id,driver1_lap_01,driver2_lap_01,driver3_lap_01,driver4_lap_01,driver5_lap_01,driver6_lap_01,driver7_lap_01,driver8_lap_01,driver9_lap_01,driver10_lap_01,driver11_lap_01,driver12_lap_01,driver13_lap_01,driver14_lap_01,driver15_lap_01,driver16_lap_01,driver17_lap_01,driver18_lap_01,driver19_lap_01,driver20_lap_01,driver21_lap_01,driver22_lap_01,driver23_lap_01,driver24_lap_01
903_2,107857,117048,111796,113462,112695,112021,109601,108569,107182,115431,114156,106185,118888,109324,114772,104671,118190,0,0,115990,111170,113510,116321,124012
903_3,118888,104671,0,114156,113462,114772,111796,113510,115990,108569,109601,124012,112021,109324,107182,106185,112695,115431,117048,116321,0,107857,118190,111170
904_1,108117,102763,0,107717,104283,97222,98993,0,103799,100112,104891,98418,101799,101298,106905,107132,107635,105306,106473,100717,96072,109359,108607,103336
904_2,98993,107132,100717,107717,104283,98418,102763,101799,101298,106473,104891,105306,109359,97222,103799,96072,108607,0,0,107635,100112,103336,108117,106905
905_1,106781,112518,0,117991,0,101206,123311,0,122262,137410,113876,108276,116563,107555,145066,111482,121226,104210,125579,105609,102306,0,115138,110138
905_2,123311,111482,105609,117991,0,108276,112518,116563,107555,125579,113876,104210,0,101206,122262,102306,115138,0,0,121226,137410,110138,106781,145066
905_3,0,102306,0,113876,117991,122262,105609,110138,121226,116563,112518,145066,108276,101206,107555,104210,0,125579,111482,106781,0,123311,115138,137410
906_1,130831,123633,0,115488,0,102208,113331,0,109177,128245,121338,125429,112012,118142,126953,129948,133113,105628,134065,119314,107756,0,149693,122234
906_2,113331,129948,119314,115488,0,125429,123633,112012,118142,134065,121338,105628,0,102208,109177,107756,149693,0,0,133113,128245,122234,130831,126953
906_3,0,107756,0,121338,115488,109177,119314,122234,133113,112012,123633,126953,125429,102208,118142,105628,0,134065,129948,130831,0,113331,149693,128245
907_1,84986,81285,0,84094,82089,78359,81640,0,84545,87490,83094,77401,76432,79740,83754,85551,85955,82828,80363,80807,79258,86604,86839,82444
907_3,86604,79258,0,83094,84094,84545,80807,82444,85955,76432,81285,83754,77401,78359,79740,82828,82089,80363,85551,84986,0,81640,86839,87490
908_2,152665,149520,157495,160601,0,137733,3702636,136405,162541,169542,174789,3698698,0,135166,153990,139816,150817,0,0,165180,145216,178411,147630,143937
908_3,0,139816,0,174789,160601,153990,157495,178411,165180,136405,3702636,143937,137733,135166,162541,3698698,0,169542,149520,147630,0,152665,150817,145216
909_1,118775,126109,0,127643,133129,113344,124224,0,114220,130574,115278,131313,121097,115736,117463,135368,116476,124645,117962,120335,129422,0,125303,126569
909_2,124224,135368,120335,127643,133129,131313,126109,121097,115736,117962,115278,124645,0,113344,114220,129422,125303,0,0,116476,130574,126569,118775,117463
909_3,0,129422,0,115278,127643,114220,120335,126569,116476,121097,126109,117463,131313,113344,115736,124645,133129,117962,135368,118775,0,124224,125303,130574
90_1,97670,94212,0,106954,0,95116,98038,0,107968,96239,97052,105996,101664,101086,100369,106520,103901,98560,108581,99917,104457,0,102947,93122
90_2,98038,106520,99917,106954,0,105996,94212,101664,101086,108581,97052,98560,0,95116,107968,104457,102947,0,0,103901,96239,93122,97670,100369
90_3,0,104457,0,97052,106954,107968,99917,93122,103901,101664,94212,100369,105996,95116,101086,98560,0,108581,106520,97670,0,98038,102947,96239
910_1,124505,116026,0,117280,131778,109365,114871,0,119365,121019,114271,112083,116659,113306,119857,121813,123129,112455,125615,120329,130539,125523,123829,118748
911_1,123993,129072,0,131336,129985,118205,126461,0,121149,134583,123675,165961,123340,120010,125467,122531,125739,119311,124486,121561,117652,130738,127440,120472
911_2,126461,122531,121561,131336,129985,165961,129072,123340,120010,124486,123675,119311,130738,118205,121149,117652,127440,0,0,125739,134583,120472,123993,125467
911_3,130738,117652,0,123675,131336,121149,121561,120472,125739,123340,129072,125467,165961,118205,120010,119311,129985,124486,122531,123993,0,126461,127440,134583
912_2,99116,102457,98441,99726,102863,98872,98158,94490,96854,93880,96349,95660,105446,92437,101226,94764,102475,0,0,101588,103338,97589,100338,100998
912_3,105446,94764,0,96349,99726,101226,98441,97589,101588,94490,98158,100998,98872,92437,96854,95660,102863,93880,102457,100338,0,99116,102475,103338
913_1,128088,129292,0,131491,130885,132215,125944,0,123658,128571,122667,130270,121862,118861,128933,125005,126623,117189,125479,120438,115510,0,127450,119536
913_2,125944,125005,120438,131491,130885,130270,129292,121862,118861,125479,122667,117189,0,132215,123658,115510,127450,0,0,126623,128571,119536,128088,128933
913_3,0,115510,0,122667,131491,123658,120438,119536,126623,121862,129292,128933,130270,132215,118861,117189,130885,125479,125005,128088,0,125944,127450,128571
914_1,222294,205323,0,219316,203757,182649,191285,0,208209,211231,195346,184938,187652,189504,206407,214131,216255,197003,192517,201047,184094,273955,220077,202710
914_2,191285,214131,201047,219316,203757,184938,205323,187652,189504,192517,195346,197003,273955,182649,208209,184094,220077,0,0,216255,211231,202710,222294,206407
914_3,273955,184094,0,195346,219316,208209,201047,202710,216255,187652,205323,206407,184938,182649,189504,197003,203757,192517,214131,222294,0,191285,220077,211231
915_1,120537,118298,0,112641,119903,112669,115016,0,117340,119175,110056,109127,120434,110798,120924,113179,121749,114632,114272,115606,107490,0,122191,116827
915_2,115016,113179,115606,112641,119903,109127,118298,120434,110798,114272,110056,114632,0,112669,117340,107490,122191,0,0,121749,119175,116827,120537,120924
915_3,0,107490,0,110056,112641,117340,115606,116827,121749,120434,118298,120924,109127,112669,110798,114632,119903,114272,113179,120537,0,115016,122191,119175
916_1,112988,146788,0,110458,0,107097,118311,0,120886,116291,121209,0,109601,112054,116822,0,116791,119740,0,114233,108000,0,110641,117125
916_2,118311,0,114233,110458,0,0,146788,109601,112054,0,121209,119740,0,107097,120886,108000,110641,0,0,116791,116291,117125,112988,116822
916_3,0,108000,0,121209,110458,120886,114233,117125,116791,109601,146788,116822,0,107097,112054,119740,0,0,0,112988,0,118311,110641,116291
917_1,89155,90303,0,86289,0,80273,90183,0,84131,88976,83264,88261,81964,84714,92378,0,87181,85176,0,86578,81105,0,82574,85649
917_2,90183,0,86578,86289,0,88261,90303,81964,84714,0,83264,85176,0,80273,84131,81105,82574,0,0,87181,88976,85649,89155,92378
917_3,0,81105,0,83264,86289,84131,86578,85649,87181,81964,90303,92378,88261,80273,84714,85176,0,0,0,89155,0,90183,82574,88976
918_2,122579,115015,113246,118872,0,119834,116485,111957,113828,123994,112785,123036,0,110647,115482,109408,118229,0,0,121183,123057,117708,120054,122074
918_3,0,109408,0,112785,118872,115482,113246,117708,121183,111957,116485,122074,119834,110647,113828,123036,0,123994,115015,120054,0,122579,118229,123057
91_1,107702,103101,0,111659,0,109208,103766,0,115279,106263,105611,125290,109861,104939,107229,115106,113920,108122,115619,109749,110055,0,111205,101045
926_1,149928,152685,0,0,0,144350,0,0,0,150426,153291,0,154851,151903,147522,0,166959,153942,0,146113,142988,0,0,148880
926_2,0,0,146113,0,0,0,152685,154851,151903,0,153291,153942,0,144350,0,142988,0,0,0,166959,150426,148880,149928,147522
