copy_id,driver1_lap_10,driver2_lap_10,driver3_lap_10,driver4_lap_10,driver5_lap_10,driver6_lap_10,driver7_lap_10,driver8_lap_10,driver9_lap_10,driver10_lap_10,driver11_lap_10,driver12_lap_10,driver13_lap_10,driver14_lap_10,driver15_lap_10,driver16_lap_10,driver17_lap_10,driver18_lap_10,driver19_lap_10,driver20_lap_10,driver21_lap_10,driver22_lap_10,driver23_lap_10,driver24_lap_10
1000_1,85218,85161,0,86472,0,86067,86049,0,85193,83855,86040,86342,84581,83663,85362,0,85077,84078,0,83470,83264,0,83990,86084
1000_2,86049,0,83470,86472,0,86342,85161,84581,83663,0,86040,84078,0,86067,85193,83264,83990,0,0,85077,83855,86084,85218,85362
1001_1,111054,112639,0,112798,0,108749,111866,0,0,108932,111421,0,110547,111152,111548,0,113191,111923,0,111534,109179,0,112031,111976
1001_2,111866,0,111534,112798,0,0,112639,110547,111152,0,111421,111923,0,108749,0,109179,112031,0,0,113191,108932,111976,111054,111548
1001_3,0,109179,0,111421,112798,0,111534,111976,113191,110547,112639,111548,0,108749,111152,111923,0,0,0,111054,0,111866,112031,108932
1002_1,86272,85040,0,86310,0,84686,86076,0,88021,87163,85767,86261,87166,85463,85635,0,87234,85176,0,86249,84918,0,87492,87347
1002_2,86076,0,86249,86310,0,86261,85040,87166,85463,0,85767,85176,0,84686,88021,84918,87492,0,0,87234,87163,87347,86272,85635
1002_3,0,84918,0,85767,86310,88021,86249,87347,87234,87166,85040,85635,86261,84686,85463,85176,0,0,0,86272,0,86076,87492,87163
1004_1,100010,104273,0,104816,0,102555,105271,0,105660,100085,101509,111949,102215,100243,101645,0,119929,100773,0,100349,100349,0,102409,103064
1004_2,105271,0,100349,104816,0,111949,104273,102215,100243,0,101509,100773,0,102555,105660,100349,102409,0,0,119929,100085,103064,100010,101645
1005_2,97246,99145,97984,98670,0,98865,95127,96797,95475,0,96853,96810,0,98200,97982,94518,97002,0,0,98635,94906,99661,97583,98532
1005_3,0,94518,0,96853,98670,97982,97984,99661,98635,96797,95127,98532,98865,98200,95475,96810,0,0,99145,97583,0,97246,97002,94906
1006_2,115332,0,113405,115322,0,0,114107,116989,112295,0,117326,116427,0,100823,113485,100620,125536,0,0,114819,106584,135128,116148,104039
1006_3,0,100620,0,117326,115322,113485,113405,135128,114819,116989,114107,104039,0,100823,112295,116427,0,0,0,116148,0,115332,125536,106584
1007_1,84052,81634,0,90579,0,83775,83641,0,83851,84403,82510,85654,84722,82024,85542,85317,85817,83308,0,85161,83130,0,83010,85109
1007_2,83641,85317,85161,90579,0,85654,81634,84722,82024,0,82510,83308,0,83775,83851,83130,83010,0,0,85817,84403,85109,84052,85542
1007_3,0,83130,0,82510,90579,83851,85161,85109,85817,84722,81634,85542,85654,83775,82024,83308,0,0,85317,84052,0,83641,83010,84403
1008_1,74288,76659,0,76377,0,76760,76419,0,75628,75805,75590,77362,75164,74773,76395,74615,75022,74718,76840,75008,74378,0,76483,75970
1008_2,76419,74615,75008,76377,0,77362,76659,75164,74773,76840,75590,74718,0,76760,75628,74378,76483,0,0,75022,75805,75970,74288,76395
1008_3,0,74378,0,75590,76377,75628,75008,75970,75022,75164,76659,76395,77362,76760,74773,74718,0,76840,74615,74288,0,76419,76483,75805
1009_1,107693,107018,0,107060,0,107209,107667,0,106556,106898,104981,108120,106885,105055,104593,0,104045,108250,0,107875,105144,0,108159,106374
1009_2,107667,0,107875,107060,0,108120,107018,106885,105055,0,104981,108250,0,107209,106556,105144,108159,0,0,104045,106898,106374,107693,104593
1009_3,0,105144,0,104981,107060,106556,107875,106374,104045,106885,107018,104593,108120,107209,105055,108250,0,0,0,107693,0,107667,108159,106898
100_2,80956,84350,80990,81459,0,84577,101117,80856,79554,101848,81179,80871,0,81073,82320,82443,87049,0,0,81084,79488,80969,79241,85257
100_3,0,82443,0,81179,81459,82320,80990,80969,81084,80856,101117,85257,84577,81073,79554,80871,0,101848,84350,79241,0,80956,87049,79488
1010_1,89452,91226,0,91449,0,91048,91198,0,90787,89028,90945,92412,90636,96562,90454,90989,90846,90229,0,89394,89341,0,89905,90976
1010_3,0,89341,0,90945,91449,90787,89394,90976,90846,90636,91226,90454,92412,91048,96562,90229,0,0,90989,89452,0,91198,89905,89028
1011_1,97650,98177,0,98232,0,117408,98382,0,97271,97680,96666,101271,98965,100205,97309,100560,101536,98025,118220,97831,98351,0,119647,97275
