copy_id,driver1_y,driver2_y,driver3_y,driver4_y,driver5_y,driver6_y,driver7_y,driver8_y,driver9_y,driver10_y,driver11_y,driver12_y,driver13_y,driver14_y,driver15_y,driver16_y,driver17_y,driver18_y,driver19_y,driver20_y,driver21_y,driver22_y,driver23_y,driver24_y
1072_1,9,11,25,10,25,13,7,25,12,8,3,14,25,15,5,25,4,2,25,25,1,25,25,6
1073_1,25,13,25,7,25,8,10,25,25,3,6,4,15,25,12,14,9,1,25,11,2,25,25,5
1074_1,25,12,25,4,25,9,15,25,16,2,5,8,14,17,6,11,7,19,10,18,3,25,13,1
1075_1,8,13,25,5,25,25,7,25,25,3,9,11,25,12,25,25,6,1,25,4,10,25,14,2
1076_1,1,9,25,10,25,17,3,25,15,7,14,13,6,25,8,11,12,25,25,2,4,25,16,5
1079_1,13,15,25,3,25,9,8,25,16,4,17,10,12,11,6,14,7,1,25,2,5,25,18,25
107_1,5,3,25,14,25,4,1,25,13,25,11,17,6,2,8,16,9,12,25,15,25,25,10,7
1081_1,5,16,25,3,25,7,9,25,15,25,25,13,8,6,11,14,10,1,25,2,4,25,12,25
1082_1,5,14,25,13,25,9,4,25,25,6,1,25,7,12,17,8,10,2,25,11,3,25,16,15
1084_1,15,13,25,4,25,10,7,25,25,25,8,16,9,17,11,6,5,2,14,25,3,25,12,1
1085_1,12,10,25,3,25,6,7,25,25,5,25,25,9,11,14,15,8,1,16,4,2,25,13,25
1086_1,12,11,25,3,25,8,7,25,18,4,16,19,15,10,20,14,9,1,13,5,2,25,17,6
1087_1,12,6,25,18,25,8,10,25,17,11,3,14,16,2,1,25,9,7,25,15,5,25,13,4
1088_1,11,10,25,2,25,6,7,25,18,8,15,25,17,14,25,13,9,1,16,5,4,25,12,3
108_1,9,2,25,6,25,7,25,25,25,8,10,25,5,3,25,25,4,25,25,1,25,25,11,25
1091_1,10,6,25,14,25,25,4,25,25,3,12,13,5,8,11,25,25,7,25,1,9,25,25,2
1092_1,3,18,25,9,25,7,8,25,17,4,14,16,11,6,15,25,12,1,25,2,5,25,13,10
1093_1,3,14,25,13,25,7,5,25,10,11,9,15,16,8,25,12,25,1,25,4,2,25,17,6
1094_1,11,15,25,4,25,19,9,25,18,5,17,25,7,14,10,16,8,1,13,3,2,25,12,6
1095_1,25,4,25,16,25,5,15,25,13,10,3,12,9,11,6,25,14,8,25,7,2,25,17,1
1098_1,25,9,25,10,25,3,7,25,16,25,1,14,8,15,13,25,6,4,12,2,5,25,11,17
1099_1,7,9,25,25,25,3,4,25,13,8,2,14,18,12,10,15,25,6,16,1,5,25,11,17
109_1,11,25,25,13,25,3,9,25,10,6,2,25,25,1,7,25,12,4,25,5,8,25,25,25
1100_1,6,13,25,9,25,3,10,25,8,14,1,16,11,7,17,25,4,12,25,5,2,25,15,25
1101_1,3,14,25,12,25,4,8,25,25,15,2,25,18,17,13,11,7,5,16,1,6,25,10,9
1104_1,6,7,25,14,25,2,5,25,13,3,1,12,11,17,25,10,25,8,18,16,4,25,15,9
1105_1,11,10,25,16,25,7,3,25,9,8,1,14,19,15,18,13,6,5,20,4,2,25,12,17
1106_1,4,12,25,7,25,2,25,25,16,8,1,18,10,15,17,11,9,5,25,6,3,25,14,13
1109_1,2,7,25,15,25,9,11,25,5,8,17,25,13,14,12,25,10,1,25,3,4,25,16,6
1110_1,11,9,25,6,25,5,7,25,10,25,15,13,16,18,12,17,8,1,25,2,4,25,14,3
111_1,7,1,25,12,25,6,14,25,11,3,8,25,13,2,25,25,4,15,25,5,10,25,9,25
112_1,6,25,25,12,25,2,25,25,8,1,3,25,9,25,25,25,4,5,25,7,10,25,11,25
113_1,25,1,25,10,25,25,9,25,11,3,4,25,8,2,7,25,6,25,25,5,25,25,13,12
114_1,25,1,25,13,25,5,9,25,25,4,10,12,6,2,25,25,3,8,25,7,11,25,25,25
115_1,3,1,25,11,25,4,10,25,9,5,25,25,25,6,7,25,2,25,25,25,25,25,8,25
117_1,2,3,25,11,25,25,10,25,12,7,25,16,25,4,6,14,1,25,15,5,13,25,8,9
118_1,2,4,25,7,25,25,25,25,12,1,8,15,6,3,14,16,9,25,13,5,17,25,11,10
119_1,5,6,25,25,25,4,12,25,25,1,13,25,11,2,8,25,9,7,25,3,10,25,25,25
11_1,9,10,25,12,25,11,25,25,25,14,3,17,4,5,18,16,13,8,15,6,2,25,1,7
120_1,3,8,25,25,25,1,11,25,25,25,10,12,7,2,6,25,4,25,13,5,9,25,25,25
121_1,25,6,25,13,25,8,5,25,12,1,10,25,7,4,25,25,2,3,25,25,9,25,25,11
122_1,25,6,25,3,25,25,25,25,8,25,25,25,4,2,25,11,1,7,25,25,5,25,10,9
123_1,8,12,25,10,25,25,7,25,15,25,11,13,3,2,5,14,1,4,16,6,9,25,25,25
124_1,25,4,25,25,25,25,6,25,25,8,2,25,5,25,1,25,25,25,25,25,3,25,25,7
125_1,3,1,25,10,12,25,8,25,11,13,25,25,25,9,25,25,25,4,25,6,5,7,25,2
126_1,5,1,25,25,25,12,8,25,7,25,11,25,3,9,25,13,2,4,6,25,25,25,25,10
128_1,6,25,25,9,25,25,25,25,25,2,11,25,10,5,12,25,7,1,25,3,4,25,8,25
129_1,10,3,25,25,25,25,11,25,8,4,5,9,12,6,7,25,1,2,25,25,25,25,25,25
12_1,3,9,25,12,25,8,7,25,25,25,4,25,13,25,1,25,11,10,25,6,5,25,14,2
130_1,2,3,25,10,25,25,25,25,6,5,11,9,1,25,4,12,7,25,25,25,8,25,25,25
