copy_id,driver1_lap_08,driver2_lap_08,driver3_lap_08,driver4_lap_08,driver5_lap_08,driver6_lap_08,driver7_lap_08,driver8_lap_08,driver9_lap_08,driver10_lap_08,driver11_lap_08,driver12_lap_08,driver13_lap_08,driver14_lap_08,driver15_lap_08,driver16_lap_08,driver17_lap_08,driver18_lap_08,driver19_lap_08,driver20_lap_08,driver21_lap_08,driver22_lap_08,driver23_lap_08,driver24_lap_08
1001_1,15,12,0,8,0,16,11,0,10,9,13,0,3,1,17,0,4,7,0,6,2,0,14,5
1002_1,3,18,0,7,0,11,17,0,13,4,10,12,5,1,16,9,19,14,0,15,2,0,8,6
1003_1,3,14,0,18,0,9,17,0,16,4,7,13,8,5,11,19,15,6,0,2,1,0,12,10
1004_1,5,10,0,8,0,17,15,0,6,1,9,16,14,4,12,0,7,11,0,3,2,0,18,13
1005_1,3,18,0,8,0,11,17,0,6,2,7,12,5,4,13,15,20,9,16,19,1,0,14,10
1006_1,14,7,0,16,0,1,18,0,17,15,3,12,10,8,4,0,5,11,0,6,2,0,13,9
1007_1,7,1,0,12,0,6,18,0,17,13,3,9,8,4,11,15,10,5,0,16,2,0,19,14
1009_1,15,9,0,10,0,11,13,0,14,8,1,16,7,2,3,0,4,12,0,18,5,0,17,6
100_1,4,2,0,12,0,13,14,0,16,3,5,19,10,1,6,20,15,9,11,8,17,0,18,7
1011_1,5,14,0,15,0,7,18,0,1,4,11,10,19,16,8,17,9,6,13,2,3,0,12,20
1012_1,5,17,0,18,0,10,12,0,3,2,8,20,13,16,9,15,11,7,14,4,1,0,6,19
1013_1,4,17,0,20,0,19,9,0,5,1,6,8,13,16,15,14,18,10,11,3,2,0,12,7
1014_1,3,9,0,20,0,17,14,0,5,2,13,15,7,18,16,19,8,12,10,4,1,0,6,11
1016_1,6,7,0,12,0,18,9,0,3,5,8,10,14,19,4,16,15,11,20,1,2,0,13,17
1017_1,4,16,0,20,0,10,14,0,3,2,12,7,17,18,11,19,13,9,15,5,1,0,8,6
1018_1,6,19,0,9,0,5,12,0,1,2,10,7,16,20,11,18,14,13,17,4,3,0,8,15
1019_1,11,4,0,6,0,13,16,0,7,1,12,17,19,18,9,10,15,8,0,5,2,0,3,14
101_1,1,19,0,8,0,3,11,0,16,10,4,14,15,2,5,20,13,7,18,9,17,0,12,6
1020_1,8,3,0,15,0,6,10,0,16,12,13,18,11,19,5,9,14,2,0,7,1,0,4,17
1021_1,1,13,0,18,0,7,16,0,3,20,11,6,9,19,10,14,15,17,12,4,2,0,8,5
1023_1,18,10,0,7,0,16,12,0,1,3,11,13,20,15,5,17,9,4,8,19,2,0,14,6
1024_1,4,12,0,8,0,11,14,0,1,5,15,7,16,18,17,19,9,13,6,3,2,0,10,20
1026_1,16,15,0,11,0,14,7,0,17,1,9,19,13,20,8,18,12,10,5,2,3,0,6,4
1027_1,20,8,0,14,0,15,13,0,1,5,9,7,19,17,12,18,16,10,3,2,4,0,11,6
1028_1,8,2,0,7,0,10,14,0,6,9,5,18,11,19,16,17,12,1,0,13,3,0,4,15
1029_1,1,16,0,10,0,8,12,0,7,4,14,11,9,18,15,20,19,17,5,3,2,0,6,13
102_1,1,2,0,18,0,3,14,0,15,5,6,17,16,7,11,19,9,12,20,8,13,0,10,4
1030_1,3,15,0,14,0,13,19,0,2,11,10,7,16,17,9,18,12,8,5,4,1,0,20,6
1031_1,16,8,0,12,0,17,15,0,5,13,1,19,6,10,11,3,2,14,20,18,4,0,7,9
1032_1,9,6,0,10,0,17,8,0,4,2,14,16,7,15,3,0,5,12,0,11,1,0,18,13
1034_1,12,8,0,7,0,15,4,0,18,5,13,17,6,10,2,0,9,3,0,14,1,0,16,11
1036_1,16,7,0,8,0,15,19,0,10,12,3,17,5,11,13,6,2,14,20,18,1,0,9,4
1037_1,7,5,0,12,0,15,8,0,16,11,2,6,9,13,4,19,3,18,0,17,1,0,10,14
1038_1,8,9,0,13,0,12,10,0,17,7,19,14,5,16,6,18,2,11,0,4,1,0,3,15
1039_1,10,8,0,0,0,11,0,0,0,5,1,0,7,12,6,0,3,9,0,13,2,0,0,4
103_1,9,5,0,13,0,2,8,0,0,14,10,0,4,3,1,0,6,7,0,12,15,0,16,11
1040_1,12,4,0,17,0,15,8,0,18,10,2,14,6,13,5,0,3,9,0,11,1,0,16,7
1041_1,9,3,0,13,0,18,10,0,6,12,5,15,16,11,7,20,14,1,17,19,2,0,4,8
1042_1,12,4,0,9,0,7,14,0,5,17,1,13,20,15,8,11,3,19,18,16,2,0,6,10
1043_1,12,9,0,7,0,16,14,0,10,8,1,13,11,15,4,6,2,19,18,17,3,0,5,20
1045_1,17,6,0,5,0,12,7,0,4,2,18,13,8,15,16,0,10,11,0,3,1,0,14,9
1046_1,7,15,0,10,0,11,1,0,18,8,5,16,2,14,12,0,6,3,0,4,17,0,13,9
1047_1,7,11,0,13,0,15,9,0,17,1,18,4,10,12,2,20,6,8,19,14,3,0,5,16
104_1,11,9,0,13,0,1,6,0,15,2,8,19,18,4,14,16,10,7,0,5,17,0,12,3
